Begrotingsjaar,VUO,HoofdstukRomeins,Hoofdstuknaam,Artikelnummer,Artikelnaam,StandOWB,StandO1,StandSBS,StandO2,Realisatie
2013,O,IXB,Financien,10,Nominaal en onvoorzien,0,0,0,0,0
2013,U,IXB,Financien,10,Nominaal en onvoorzien,7008,3219,0,3901,0
2013,V,IXB,Financien,10,Nominaal en onvoorzien,7008,3219,0,3901,0
2013,O,IXB,Financien,21,Centraal Apparaat,27525,33505,0,31070,36211
2013,U,IXB,Financien,21,Centraal Apparaat,204189,214776,0,201324,198490
2013,V,IXB,Financien,21,Centraal Apparaat,204189,214776,0,201324,198523
2013,O,J,Deltafonds,1,Investeren in waterveiligheid,87689,89221,0,86356,92708
2013,U,J,Deltafonds,1,Investeren in waterveiligheid,536712,553129,0,546941,574101
2013,V,J,Deltafonds,1,Investeren in waterveiligheid,672709,696129,0,1152846,1053633
2013,O,J,Deltafonds,2,Investeren in zoetwatervoorziening,2500,8061,0,66,0
2013,U,J,Deltafonds,2,Investeren in zoetwatervoorziening,32117,24285,0,46929,46278
2013,V,J,Deltafonds,2,Investeren in zoetwatervoorziening,7249,23752,0,35602,32340
2013,U,J,Deltafonds,3,"Beheer, Onderhoud en vervanging",156150,178397,0,192033,190180
2013,V,J,Deltafonds,3,"Beheer, Onderhoud en vervanging",155124,152681,0,188324,189429
2013,U,J,Deltafonds,4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0
2013,V,J,Deltafonds,4,Experimenteren cf. art.111 Deltawet,0,0,0,0,0
2013,U,J,Deltafonds,5,Netwerkgebonden kosten en overige uitgaven,247581,283760,0,253873,253827
2013,V,J,Deltafonds,5,Netwerkgebonden kosten en overige uitgaven,247184,252907,0,253859,253539
2013,O,J,Deltafonds,6,Bijdrage ten laste van begroting Hoofdstuk XII,882371,942289,0,973525,973745
2013,U,V,Buitenlandse Zaken,1,Internationale rechtsorde en mensenrechten,114886,111607,0,109468,106338
2013,V,V,Buitenlandse Zaken,1,Internationale rechtsorde en mensenrechten,99376,112453,0,127184,116445
2013,O,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,1167,1167,0,1167,2057
2013,U,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,776500,256784,0,241330,226472
2013,V,V,Buitenlandse Zaken,2,Grotere veiligheid en stabiliteit en humanitaire hulp,679511,245992,0,235524,200114
2013,O,V,Buitenlandse Zaken,3,Europese samenwerking,685267,685267,0,573923,592213
2013,U,V,Buitenlandse Zaken,3,Europese samenwerking,7580467,8055120,0,7574385,7495364
2013,V,V,Buitenlandse Zaken,3,Europese samenwerking,7412138,7886791,0,7418260,7339239
2013,O,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,57363,0,0,0,0
2013,U,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,938979,2300,0,1000,286
2013,V,V,Buitenlandse Zaken,4,Meer welvaart en minder armoede,764287,0,0,0,193
2013,U,V,Buitenlandse Zaken,5,toegenomen menselijke ontplooiing en sociale ontwikkeling,1078152,0,0,0,0
2013,V,V,Buitenlandse Zaken,5,toegenomen menselijke ontplooiing en sociale ontwikkeling,331241,0,0,0,0
2013,U,V,Buitenlandse Zaken,6,Duurzaam water- en milieubeheer,397960,0,0,0,0
2013,V,V,Buitenlandse Zaken,6,Duurzaam water- en milieubeheer,533944,0,0,0,0
2013,O,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,41300,41300,0,41300,48264
2013,U,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,24964,15639,0,17122,16961
2013,V,V,Buitenlandse Zaken,7,Welzijn en veiligheid van Nederlanders in het buitenland,24964,15969,0,17452,15488
2013,O,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming in ...,790,790,0,790,774
2013,U,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming in ...,71982,41385,0,56711,54122
2013,V,V,Buitenlandse Zaken,8,Versterkt cultureel profiel en positieve beeldvorming in ...,51065,40509,0,57464,41425
2013,U,V,Buitenlandse Zaken,9,Geheim,0,162,0,162,163
2013,V,V,Buitenlandse Zaken,9,Geheim,0,162,0,162,-30
2013,U,V,Buitenlandse Zaken,10,Nominaal en onvoorzien,33597,18379,0,3800,3758
2013,V,V,Buitenlandse Zaken,10,Nominaal en onvoorzien,33597,18379,0,3800,3758
2013,O,V,Buitenlandse Zaken,11,Algemeen,58626,58626,0,67850,115293
2013,U,V,Buitenlandse Zaken,11,Algemeen,759974,780177,0,739089,694372
2013,V,V,Buitenlandse Zaken,11,Algemeen,692706,727514,0,701246,688056
2013,O,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,12,Rechtspleging en rechtsbijstand,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
